"name"	"ID"	"X1058_0_vs_X915_0_p.val"	"X1716_0_vs_X915_0_p.val"	"X563_ctrl_0_vs_X915_0_p.val"	"X1058_0_vs_X915_0_p.adj"	"X1716_0_vs_X915_0_p.adj"	"X563_ctrl_0_vs_X915_0_p.adj"	"X1058_0_vs_X915_0_significant"	"X1716_0_vs_X915_0_significant"	"X563_ctrl_0_vs_X915_0_significant"	"significant"	"X1058_0_vs_X915_0_ratio"	"X1716_0_vs_X915_0_ratio"	"X563_ctrl_0_vs_X915_0_ratio"	"X1058_0_centered"	"X1716_0_centered"	"X563_ctrl_0_centered"	"X915_0_centered"
"AC3.5"	"Q17405"	7.94946286688231e-12	0.666870085355208	0.691624458593877	1.71e-13	0.968	0.959	TRUE	FALSE	FALSE	TRUE	-6.79	-0.0898	0.0827	-5.09	1.61	1.78	1.7
"acl-7"	"G5EFP8"	0.626989530003792	0.672416048974117	0.00142933913544626	0.973	0.969	0.0441	FALSE	FALSE	TRUE	TRUE	0.195	0.169	1.68	-0.316	-0.341	1.17	-0.51
"acp-6"	"Q9GUF2"	0.00101969263241012	0.000290987561433021	0.412268279626973	0.0233	0.0317	0.939	TRUE	TRUE	FALSE	TRUE	-0.771	-0.913	-0.145	-0.314	-0.455	0.312	0.457
"anmt-2"	"Q20308"	0.0737595033244796	0.00842739670570957	3.88780311354395e-06	0.842	0.522	7.8e-10	FALSE	FALSE	TRUE	TRUE	-0.694	-1.13	-3.1	0.537	0.0979	-1.87	1.23
"asah-1"	"O45686"	0.00100582586879599	0.389861241354387	0.266893344456196	0.0229	0.956	0.916	TRUE	FALSE	FALSE	TRUE	1.62	0.32	-0.418	1.24	-0.0599	-0.797	-0.379
"B0035.15"	"Q17439"	0.736527673328829	0.000440364757897794	0.0531214438932263	0.976	0.0519	0.721	FALSE	TRUE	FALSE	TRUE	-0.0689	-1.01	0.436	0.0927	-0.852	0.597	0.162
"B0286.3"	"Q10457"	0.00246705819077192	0.00584403047277955	0.00559125523062222	0.0891	0.447	0.199	TRUE	FALSE	FALSE	TRUE	0.559	0.486	0.49	0.175	0.103	0.106	-0.384
"C05C10.2"	"Q95ZZ3"	0.66554171330512	0.122221429390735	6.15607821306881e-06	0.974	0.91	7.94e-09	FALSE	FALSE	TRUE	TRUE	-0.0817	-0.309	1.55	-0.371	-0.599	1.26	-0.29
"C05D11.5"	"Q11185"	2.98857724993837e-06	1.02348477291916e-06	1.36660377595525e-06	2.67e-11	3.11e-09	1.69e-12	TRUE	TRUE	TRUE	TRUE	-1.68	-1.89	-1.83	-0.332	-0.537	-0.48	1.35
"C27A7.1"	"B5BM33"	0.000989054948668868	0.00253466393924178	0.019366537261188	0.0223	0.288	0.466	TRUE	FALSE	FALSE	TRUE	-1.35	-1.18	-0.823	-0.514	-0.34	0.0154	0.839
"C48B4.1"	"P34355"	8.52086750612204e-06	0.00116538226947986	0.00580450490905794	7.14e-09	0.149	0.206	TRUE	FALSE	FALSE	TRUE	1.25	0.681	0.531	0.633	0.0659	-0.0838	-0.615
"cex-1"	"Q10131"	0.0931259751160183	0.000673622505482753	0.000826762085941604	0.871	0.0826	0.0189	FALSE	TRUE	TRUE	TRUE	0.726	1.88	-1.83	0.532	1.69	-2.03	-0.195
"clec-1"	"Q22966"	3.92159145902527e-05	0.000315499518455729	0.262219038436681	4.24e-06	0.0351	0.915	TRUE	TRUE	FALSE	TRUE	-1.02	-0.793	-0.177	-0.525	-0.295	0.321	0.499
"clec-190"	"Q9NAP0"	8.66932840129512e-08	2.61094449058272e-07	9.87810759298168e-08	1.71e-13	1.7e-12	2.11e-13	TRUE	TRUE	TRUE	TRUE	-2.19	-1.96	-2.16	-0.614	-0.378	-0.585	1.58
"clec-209"	"G5EBG4"	0.01588852112997	0.00199134794073711	0.000517943037947225	0.482	0.241	0.00838	FALSE	FALSE	TRUE	TRUE	0.541	0.772	0.934	-0.0204	0.21	0.372	-0.562
"clec-266"	"Q7Z121"	0.0078495224393689	0.000769795527248092	0.10054344056015	0.27	0.0951	0.825	FALSE	TRUE	FALSE	TRUE	1.24	1.77	-0.679	0.656	1.19	-1.26	-0.583
"clec-4"	"Q9NAK5"	0.000566593339245745	0.0236453276057101	0.197177737265788	0.00871	0.741	0.895	TRUE	FALSE	FALSE	TRUE	1.49	0.806	0.419	0.813	0.127	-0.26	-0.679
"clec-41"	"P90732"	2.4638009314798e-05	0.0519867734438255	0.0199233476943176	7.58e-07	0.845	0.474	TRUE	FALSE	FALSE	TRUE	1.81	0.551	0.69	1.05	-0.212	-0.0732	-0.764
"clec-63"	"O45444"	0.000704163073688818	0.105231735452841	0.495788378323469	0.0129	0.901	0.947	TRUE	FALSE	FALSE	TRUE	1.87	0.696	0.277	1.16	-0.0144	-0.434	-0.71
"col-95"	"Q86MP1"	0.00309758656580043	0.0463581211797474	0.00053462954761436	0.112	0.833	0.00884	FALSE	FALSE	TRUE	TRUE	-1.53	-0.903	-1.97	-0.43	0.199	-0.872	1.1
"cox-2"	"P24894"	0.0221978033706001	0.284864288570291	9.60664181752338e-05	0.586	0.947	0.000198	FALSE	FALSE	TRUE	TRUE	-0.291	0.122	-0.667	-0.0824	0.331	-0.458	0.209
"cpr-6"	"G8JY40"	0.204959058525205	0.242990033216227	0.000987713876264962	0.933	0.941	0.0247	FALSE	FALSE	TRUE	TRUE	0.238	0.218	0.801	-0.0761	-0.0963	0.487	-0.314
"cth-1"	"K8ESE2"	1.81563075316214e-07	0.109742412521135	0.885052790007501	1.71e-13	0.904	0.966	TRUE	FALSE	FALSE	TRUE	3.03	0.432	-0.0366	2.18	-0.425	-0.893	-0.857
"cyc-2.2"	"Q23240"	0.0425594423190253	0.000255982696330912	0.55470032880815	0.75	0.0268	0.951	FALSE	TRUE	FALSE	TRUE	0.529	1.25	-0.14	0.12	0.838	-0.549	-0.409
"D9PTN8"	"D9PTN8"	0.0802741534259211	0.000360696902885734	0.0238735159795998	0.853	0.0415	0.525	FALSE	TRUE	FALSE	TRUE	0.324	0.87	0.442	-0.0852	0.461	0.033	-0.409
"dap-3"	"G5EFC8"	0.712459007841541	0.0266016201373195	0.00248743814902509	0.975	0.76	0.0881	FALSE	FALSE	TRUE	TRUE	0.0539	-0.368	0.566	-0.009	-0.431	0.503	-0.0629
"dhs-25"	"Q19246"	0.00156469900570753	0.000110675755093763	0.0650636662069038	0.0486	0.00636	0.759	TRUE	TRUE	FALSE	TRUE	-0.65	-0.924	0.315	-0.336	-0.609	0.63	0.315
"dhs-4"	"O18030"	4.18123940056114e-06	9.20871409536162e-07	0.222640091294587	1.62e-10	2.26e-09	0.904	TRUE	TRUE	FALSE	TRUE	1.32	1.55	0.194	0.553	0.786	-0.572	-0.766
"E3W732"	"E3W732"	0.563671217542025	0.000169734020877592	0.91954546453391	0.97	0.0141	0.967	FALSE	TRUE	FALSE	TRUE	0.138	1.33	0.024	-0.235	0.957	-0.349	-0.373
"ech-8"	"O17761"	0.148483050095971	4.26285562136629e-05	0.302922096062232	0.913	0.000862	0.924	FALSE	TRUE	FALSE	TRUE	-0.394	-1.71	-0.274	0.201	-1.12	0.321	0.595
"F09G8.7"	"P34392"	0.827059080102149	0.000620310338301046	0.000943735713070304	0.978	0.0758	0.0231	FALSE	TRUE	TRUE	TRUE	-0.0577	-1.25	-1.18	0.564	-0.628	-0.558	0.622
"F13D12.6"	"P52715"	0.00061369988014805	0.586820409798218	0.120228883633316	0.0101	0.966	0.847	TRUE	FALSE	FALSE	TRUE	1.06	0.122	0.37	0.672	-0.266	-0.0184	-0.388
"F36G3.1"	"Q09560"	0.0499079821406865	0.0872596991479048	0.000335710896590546	0.781	0.889	0.00365	FALSE	FALSE	TRUE	TRUE	0.648	0.551	-1.53	0.732	0.635	-1.45	0.084
